epoch,step,train_loss
1,49,2.2691590785980225
3,99,1.5609450340270996
4,149,1.27504301071167
6,199,0.5514445900917053
8,249,0.2813384234905243
9,299,0.21815413236618042
11,349,0.07275499403476715
12,399,0.28655973076820374
14,449,0.04044736176729202
16,499,0.03511548787355423
17,549,0.16314217448234558
19,599,0.026697013527154922
20,649,0.013010131195187569
22,699,0.15496501326560974
24,749,0.010639749467372894
25,799,0.2852402329444885
27,849,0.006068090908229351
29,899,0.07678234577178955
30,949,0.07236792892217636
32,999,0.08521166443824768
33,1049,0.08279283344745636
35,1099,0.005347334314137697
37,1149,0.005784284323453903
38,1199,0.03464671969413757
40,1249,0.12031236290931702
41,1299,0.329827219247818
43,1349,0.1913089156150818
45,1399,0.00411480525508523
46,1449,0.0026272882241755724
48,1499,0.13985827565193176
49,1549,0.10565709322690964
51,1599,0.08246908336877823
53,1649,0.08568030595779419
54,1699,0.08013421297073364
56,1749,0.036843933165073395
58,1799,0.0024031400680541992
59,1849,0.003171762218698859
61,1899,0.1098661795258522
62,1949,0.07329511642456055
64,1999,0.05310666561126709
66,2049,0.002706426428630948
67,2099,0.29323655366897583
69,2149,0.06442196667194366
70,2199,0.01244740653783083
72,2249,0.11604223400354385
74,2299,0.24661123752593994
75,2349,0.07705584168434143
77,2399,0.061161402612924576
79,2449,0.0026042477693408728
80,2499,0.034737877547740936
82,2549,0.09016460180282593
83,2599,0.0013266674941405654
85,2649,0.09116491675376892
87,2699,0.1675947606563568
88,2749,0.0017147546168416739
90,2799,0.001829503569751978
91,2849,0.03608475252985954
